Gainers
Symbol,LTP,% Change,Volume
JSWSTEEL,939,2.36,"39,88,457"
ITC,474.5,2.12,"1,88,37,469"
HINDALCO,634.3,1.87,"29,21,238"
TRENT,6950,1.73,"7,83,189"
HDFCBANK,1802,1.72,"55,22,296"

Losers
Symbol,LTP,% Change,Volume
HEROMOTOCO,4275,-1.50,"9,31,177"
MARUTI,10810,-0.84,"2,37,165"
HCLTECH,1900.8,-0.55,"20,58,339"
HDFCLIFE,620.5,-0.53,"29,24,609"
BAJAJFINSV,1562.95,-0.43,"10,17,438"

Symbold
f
df
Symbold
dfsdf
dfsdf
